Articles,Cost 
Accident Victim,407500
"Acer Monitor 21.5""",106500
Agri Battery Sprayer,499800
Agri Cart Weeder,74000
Agri Manual Sprayer,51744
Agri Power Sprayer (2 STK),246960
Agri Power Sprayer (4 STK),56000
AHUJA Radios,41300
Air Conditioner 1 Tonne,30000
Al.Dabara Set 3 Kg,95000
Aluminium Idli Making Box,96000
Aluminium Vessels Set - Big,5656
Aluminium Vessels Sets,100000
Artificial Limb,15000
Auto- 3 Wheeler,310000
Barber Set,5000
Bore well Pump(5 HP) / DOL Starter,110000
Bosch Electrician Kit 10 Re,225144
Bosch Electrician Kit 13 Re,200836
Bosch Rotary Hammer GBH 220,31860
Business Aid,614040
Butterfly Mixie 750W,65000
Canon EOS 1500 Camera,48000
Canon Printer 6030B (USB),13900
Canon TR 4826 Photocopier,265000
Ceiling Fan,21600
Ceiling Fan- Ord,64995
Colour Printer HP Smart Tank 760 All in one,27500
Colour Toner pack,16284
Construction Aid,120000
Desktop Computer,591500
Desktop Computer - HVY,119225
Diamond Cooker 12 Ltrs,1381200
Dictionary English - Tamil,60000
Domestic Stove 2 Burner,149600
Education Aid,1701013
Electric Iron Box,3000
Electronic weighing scale,7000
Epson Printer L3250 (Lite),300200
Ex gratia for Deceased,1600000
Financial Aid,158000
Fishing net,120475
Fixed Wheel Chair,44100
Flood Light 50 W,1500
Flood Relief Fund,2648000
Foldable Wheel Chair,86625
Front Load Business Tricycle,14560
Fruit Juice Mixie,5850
Gaja Hi tech Agro 6.5 HP Pump,28000
Gaja Mini Weeder,24000
Gasoline Generator XLNT-9500E,75000
Gents Cycle,935000
Girls Cycle,930800
Goat,50000
Gp Welding Machine Arc 200,26904
Grass Cutter Machine,34515
Gravy Grinder 3 Ltr,30000
Groceries,15000
Hand Sewing Machine with Motor,11832
Handicapped Hand Tricycle,58800
Handicapped Scooter,390000
Hearing Aid,36000
HP Printer 1108 Plus,62800
"HP Printer 126NW (Heavy, All in 1)",23700
Instant Grinder 30 Kgs,457840
Inverter,19900
Iron Box,178200
Iron Ms Stove 2 Burner,120000
Junior Cycle,30500
Kissan Power Weeder,165000
kk.bc.8635.Brush Cutter,28000
Laptop,6460000
Laptop - i5,60800
Laptop - i5(Lite),53000
Laptop (3511),95000
Laptop (Victus),79000
Lenova Tab,195000
Livelihood Aid,125000
Medical Aid,2177020
Mini freezer,17000
Office Table 4X2,46020
Orient 20 W Bulb,2600
Oxygen Concentrator,286720
Paper Plate Making Machine,218300
Podiam Mike- Digimore,1900
Portable Speaker,12000
Preethi Mixie,7000
Prestige Mixer Grinder 1000 W,5800
Project,410000
Provision materials to Orphanages,475112
Push Cart With Top,133000
Push Cart With Top/Iron Box,21600
Push Cart Without Top,78000
Pushcart + Idli box + MS Burner stove,21400
Renovation Aid,320000
Rice 1000 Kgs,60000
RO water Purifier 10 Ltrs,15000
S Type Chair,11210
Sandalwood tree Sapling,20000
School Furniture,53400
Sewing Machine Heavy,536535
Sewing Machine ORD,4123600
Sewing Machine ORD / Motor,1914816
Sewing Machine Overlock,67500
Sewing Machine Universal ZigZag,24600
Single Burner Stove,8400
Steel Cupboard,136290
Surya Gas Stove,7600
Table fan,2600
Table Top Tilting Grinder 2 Ltr,46728
Table Top Wet Grinder 2 Ltr,683928
Table Top Wet Grinder 3Ltr,9500
Tea & Milk Steamer,12500
Tea can 10 ltrs,1500
Tiffen Set,48000
Tiffen Set + Idli Box +2 burner stove,11200
TIFFEN SET + MS STOVE 2 BURNER,4000
Titan Agri Chain Saw,36000
Tree plant Saplings,100000
Two Wheeler,1138274
Water Hose -Braided,8000
Weighing Scale+ Bicycle+Basket for Fish Vendor,20000
Wet Grinder 2 Ltr (Hgt),67968
Wet Grinder 3 Ltrs,47790
Wet Grinder 5 Ltrs,57348
Wet Grinder Floor Model 2 Ltr,188328
Wood Saw Machine (P),18600